Date/Time,Compute Power,Accessory Power,Total Power,Power Usage Effectiveness(100%),Temperature
2023-10-29 22:00:00,9.101166666666666,0.51535,9.6165,1.0565,18.0
2023-10-29 23:00:00,9.176833333333333,0.5289,9.705666666666668,1.0574999999999999,17.0
2023-10-30 00:00:00,12.436333333333332,0.6239499999999999,13.060333333333332,1.0511666666666668,17.0
2023-10-30 01:00:00,14.582333333333333,0.6457499999999999,15.228,1.0445,17.0
2023-10-30 02:00:00,13.826500000000001,0.6418166666666667,14.468333333333334,1.0468333333333333,17.0
2023-10-30 03:00:00,13.5375,0.6960833333333333,14.233666666666666,1.0515,17.0
2023-10-30 04:00:00,14.5805,0.6269333333333333,15.207499999999998,1.0428333333333333,17.0
2023-10-30 05:00:00,14.0435,0.63145,14.675166666666668,1.0454999999999999,16.0
2023-10-30 06:00:00,14.521,0.6955333333333332,15.216833333333334,1.0478333333333334,16.0
2023-10-30 07:00:00,12.968333333333334,0.6457499999999999,13.614166666666668,1.0506666666666666,17.0
2023-10-30 08:00:00,14.226833333333333,0.6501333333333333,14.877,1.0456666666666667,18.0
2023-10-30 09:00:00,13.465833333333334,0.6302666666666666,14.096333333333334,1.0475,19.0
2023-10-30 10:00:00,13.030833333333334,0.6038833333333334,13.634833333333333,1.0476666666666665,18.0
2023-10-30 11:00:00,13.045333333333334,0.6321666666666667,13.6775,1.0505,17.0
2023-10-30 12:00:00,10.281166666666666,0.5648833333333333,10.846166666666667,1.0555,14.0
2023-10-30 13:00:00,9.198500000000001,0.5262166666666667,9.724666666666666,1.0571666666666666,14.0
2023-10-30 14:00:00,11.957,0.5593833333333333,12.5165,1.047,12.0
2023-10-30 15:00:00,11.392333333333333,0.5636,11.956000000000001,1.0493333333333335,11.0
2023-10-30 16:00:00,10.048333333333334,0.5452333333333333,10.593666666666666,1.0543333333333333,11.0
2023-10-30 17:00:00,10.709666666666665,0.5507333333333334,11.260166666666665,1.0513333333333332,11.0
2023-10-30 18:00:00,10.9095,0.5566166666666666,11.466,1.0511666666666668,11.0
2023-10-30 19:00:00,12.293166666666666,0.5923333333333334,12.885666666666667,1.0485,9.0
2023-10-30 20:00:00,13.864666666666666,0.6192166666666666,14.484166666666667,1.0448333333333333,9.0
2023-10-30 21:00:00,13.243,0.6093833333333333,13.852666666666666,1.0461666666666665,9.0
2023-10-30 22:00:00,15.26,0.6372833333333333,15.897166666666665,1.042,9.0
2023-10-30 23:00:00,10.361333333333333,0.5655,10.927,1.0543333333333333,9.0
2023-10-31 00:00:00,10.940833333333332,0.5485166666666667,11.489166666666668,1.05,8.0
2023-10-31 01:00:00,11.611666666666666,0.5746166666666667,12.1865,1.05,8.0
2023-10-31 02:00:00,10.712166666666667,0.5342,11.246666666666668,1.0511666666666666,8.0
2023-10-31 03:00:00,15.555,0.6993,16.25433333333333,1.045,8.0
2023-10-31 04:00:00,14.6995,0.6217,15.3215,1.0423333333333333,8.0
2023-10-31 05:00:00,13.695,0.6144833333333334,14.3095,1.045,8.0
2023-10-31 06:00:00,11.889833333333334,0.5841,12.473666666666666,1.0491666666666666,8.0
2023-10-31 07:00:00,11.927666666666667,0.5748666666666666,12.5025,1.0483333333333333,7.0
2023-10-31 08:00:00,11.624166666666667,0.5767,12.200833333333334,1.0496666666666667,7.0
2023-10-31 09:00:00,11.195500000000001,0.5676833333333333,11.763,1.0511666666666668,8.0
2023-10-31 10:00:00,12.204333333333333,0.5848833333333333,12.789499999999999,1.0485,8.0
2023-10-31 11:00:00,14.074166666666665,0.6466666666666666,14.720999999999998,1.0461666666666667,9.0
2023-10-31 12:00:00,12.9835,0.6026166666666667,13.586166666666665,1.0466666666666666,10.0
2023-10-31 13:00:00,12.822166666666666,0.61105,13.433166666666667,1.048,10.0
2023-10-31 14:00:00,10.011833333333334,0.5523333333333333,10.564,1.0553333333333332,13.0
