type,name,lat,lon,area_m2
node,Tillmann Umzüge,52.5428078,13.3630151,0
node,Komet Umzüge,52.5339272,13.3478552,0
node,Bilfinger Construction GmbH,52.5877067,13.3172074,0
node,Perfekt Umzüge,52.5490306,13.3599643,0
node,Compact Umzüge,52.5506613,13.3664624,0
node,Spielhaus Goldbeckweg,52.5426731,13.2305322,0
node,Wichtel Umzüge GmbH,52.5767733,13.3782272,0
node,Falken Umzüge,52.5690976,13.3618605,0
node,Atlanten Umzüge,52.5606435,13.3765801,0
node,GPS Umzüge,52.4670696,13.339895,0
node,Fachmann Umzüge,52.5681954,13.3987052,0
node,Roggan Umzüge & Transporte,52.5042619,13.5827801,0
node,Wichtel Umzüge,52.5657177,13.3781402,0
node,Eurobest Umzüge,52.5546101,13.3758068,0
node,Strabag PFS,52.5347881,13.4539187,0
node,Wichtel Umzüge GmbH,52.565535,13.3780853,0
node,Kaspar-Umzüge,52.4860793,13.3618158,0
node,Hochtief-Buddybär,52.438808,13.1778201,0
node,Nassib Umzüge & Entrümplung Berlin,52.5497435,13.3621507,0
node,Nazareth Umzüge,52.5489531,13.3609517,0
node,Engelmann Umzüge,52.5456624,13.3711703,0
node,zapf umzüge,52.4700165,13.4542104,0
node,"Reiner Kraft Transportlogistik, Umzüge & Lagerung",52.5792262,13.3597007,0
node,Axa Umzüge,52.5556896,13.3423177,0
node,Legende Umzüge,52.5539363,13.3728878,0
node,Intertrans Umzüge,52.4801254,13.3465035,0
node,Moon Umzüge,52.56024,13.3871374,0
node,Niclas Umzüge,52.5268041,13.3302206,0
node,Regatta-Umzüge,52.4178692,13.5799186,0
node,Aist Umzüge,52.5411302,13.6174784,0
node,Steuerbüro W. Goldbecker,52.4605213,13.3192319,0
node,Amadeus Umzüge,52.4422525,13.5191005,0
node,Mars Umzüge,52.5642025,13.3521173,0
node,SAGA Umzüge,52.5637836,13.3525897,0
node,Anton Umzüge,52.5678038,13.3463474,0
node,Turm Umzüge,52.5517505,13.3776585,0
node,Helden Umzüge Berlin,52.55559,13.3474799,0
node,Almut Umzüge,52.5639186,13.4123601,0
node,Igel Umzüge,52.5618077,13.3771155,0
node,HOCHTIEF Projektentwicklung GmbH,52.5102604,13.423638,0
node,Rubin Umzüge,52.5494616,13.3592276,0
node,Schindler Umzüge,52.5511253,13.4050129,0
node,Idol Umzüge,52.5477348,13.3665387,0
node,Tornado Umzüge,52.5523004,13.3564223,0
node,Wind Umzüge,52.5320512,13.3500161,0
node,Avatar Umzüge,52.5746358,13.3804013,0
node,Fahnert Umzüge,52.580511,13.2911204,0
node,Ados Umzüge,52.5423943,13.3622537,0
node,Heimgold Umzüge,52.4627316,13.4341506,0
node,zentrum Umzüge,52.5518333,13.4481761,0
node,MM Umzüge,52.5469773,13.453925,0
way,Goldbeckweg,52.54509740416666,13.229816858333336,16638.022514055596
way,Kristall Umzüge,52.72016382,13.139908020000002,214.9374103135941
way,Strabag Real Estate Berlin,52.463528153333336,13.36430838,685.6711864050305
way,Lösche Umzüge,52.58877398571429,13.41423997142857,355.8816169734841
way,Möbeltransporte Umzüge Nitsche,52.44409306,13.33475614,68.36587493416381
way,STRABAG,52.54395622222222,13.708020822222222,316.76043218501417
way,zapf Umzüge,52.461374128124994,13.457086253125,21996.326940697618
way,Borkowski Umzüge,52.436479985714286,13.279597414285716,8644.37967433928
way,Ehemalige Zapf Umzüge,52.50436286666667,13.436503422222222,12104.1653114332
way,Borkowski Umzüge,52.387249940000004,13.24001682,1348.5571500377346
way,Thater Umzüge,52.46684392307692,13.45710093076923,10466.340356734609
relation,Strabag AG Nord-Ost,52.46308191764707,13.36403244117647,3342.8846265529696
