type,name,lat,lon,area_m2
node,Berliner Automobile,52.5004406,13.7371569,0
node,König Automobile,52.5002088,13.7395494,0
way,Hornbach,52.49686935714284,13.747073185714282,12811.51855819379
way,Am Robinienhain,52.504483500000006,13.842196240000002,358.52648619986013
way,Reisemobile Bach / NBS Fahrzeughandel,52.49987991999999,13.74074918,196.1249322483525
way,Robinienweg,52.42822429285714,13.748850914285716,1077.1250456049397
way,König Automobile,52.50007517142858,13.739493942857141,96.12285753932761
