type,name,lat,lon,area_m2
node,Schiffsanleger,52.5195843,13.3650773,0
node,Privatanleger Waldhotel am See Berlin-Schmöckwitz,52.3690391,13.6495718,0
node,Besmer Bootswerft,52.3740714,13.6530925,0
node,Eisenbahn-Sportverein Schmöckwitz,52.3782678,13.6523107,0
node,Bootshaus Krampenblick,52.3803741,13.6485051,0
node,Segel-Club Seddin,52.3779313,13.6528396,0
node,Bootshaus W-D-Junge,52.3710046,13.7038559,0
node,Wassersport-Verein 1921,52.3871789,13.6414436,0
node,Ziegenhals,52.3472011,13.6578982,0
node,MRC Berlin,52.4434532,13.3271911,0
node,Marina Havelbaude,52.6837632,13.2445475,0
node,Bootshaus am Werlsee,52.4194967,13.8036864,0
node,Verein Berliner Segler e.V.,52.3455908,13.6418977,0
node,Hotel Schildhorn,52.4936731,13.1967882,0
node,Anleger Neustädter Havelbucht,52.3941408,13.0478814,0
node,Borsighafen,52.5816082,13.2766019,0
node,Wassersportclub Kladow,52.4504548,13.1473538,0
node,Segelclub der Schele-Schule,52.5041055,13.2080712,0
node,TU-Bootshaus,52.5095679,13.2095125,0
node,Sportboothafen Gosen,52.3899662,13.6967982,0
node,Bootshaus Roll,52.3512765,13.6341984,0
node,Berliner Sportverein AdW e.V.,52.3460621,13.6346998,0
node,MC Stienitzsee,52.5064908,13.8216939,0
node,Segel-Club Oberhavel,52.5046489,13.2077618,0
node,Segel-Club Fraternitas 1891 e.V.,52.4236325,13.5838097,0
node,Bootsstände Lahe,52.5596195,13.2389591,0
node,Sportboothafen,52.5909198,12.9771457,0
node,pier36eins,52.4180653,13.5828182,0
node,Wassersportzentrum Berlin,52.4478778,13.6090909,0
node,Anleger am Schiffsrestaurant van Loon,52.4957978,13.4071013,0
node,Tankschiffliegehafen,52.522081,13.2047013,0
node,Marina Papenberge,52.5969385,13.20771,0
node,Anlegestelle Haus der Kulturen der Welt,52.5187921,13.3620231,0
node,Seesportclub Berlin-Grünau e.V.,52.3966376,13.6365431,0
node,Motor-Yacht-Club-Preußen e.v. im ADAC,52.4894631,13.1829472,0
node,Hafen Treptow,52.4937214,13.4647908,0
node,Hotel Dannenberg,52.608655,13.2101571,0
node,Hafen Schiffskontor,52.4913112,13.4829199,0
node,PSB 24,52.4314655,13.5733099,0
node,SC Brise 1898,52.4223213,13.5842681,0
node,Pier 38,52.3679857,13.6847349,0
node,WSV Karolinenhof e.V.,52.3967953,13.6338793,0
node,Citymarina Rummelsburg,52.4907405,13.4892384,0
node,Marina Lanke,52.5014259,13.1876751,0
node,Bootshaus Eiswerder,52.5499218,13.2176081,0
node,Altstadthafen Berlin-Spandau,52.5468273,13.2128558,0
node,Bootshaus Hempler,52.5074739,13.1962923,0
node,Bootshaus Zeuthener See,52.3721623,13.6452283,0
node,Bootshaus Zacholowsky,52.5624516,13.2449695,0
node,Bootsstände Angermann,52.5085209,13.2009365,0
node,Cöpenicker Segler-Verein,52.4495112,13.5814616,0
node,Bootsverleih SPREE POINT,52.4272089,13.6293274,0
node,Ideeninsel Lindwerder,52.4676744,13.1928151,0
node,Motor-Boot-Club Berlin e. V.,52.430871,13.1672162,0
node,Motor-Yacht-Club Tegel e. V.,52.5802544,13.2758816,0
node,Bläske & Schülke,52.4095378,13.66536,0
node,SC Spandau e.V.,52.5695472,13.2243465,0
node,Bootshaus Burchardt,52.4228977,13.7446388,0
node,Bootshaus Kelling,52.4190772,13.7382499,0
node,Seglergemeinschaft am Müggelsee,52.4424899,13.6239769,0
node,MC Birkenwerder,52.6893952,13.2531588,0
node,EWV Hennigsdorf,52.6361443,13.2153191,0
node,Stadthafen Hennigsdorf,52.6344017,13.2144792,0
node,Yachtzentrum Nord-West,52.6149532,13.2028063,0
node,Nixe Yachthafen,52.40953,13.081848,0
node,Wassersportgemeinschaft am Großen Fenster,52.4494709,13.1858704,0
node,Segel Club Flakensee,52.4438467,13.7586008,0
node,Marina Schloss Köpenick,52.4439716,13.5703696,0
node,Segelclub Zeuthen e.V.,52.3478703,13.6341541,0
node,Zeuthener Yachtclub,52.3642644,13.6388906,0
node,Segelclub ARGO e.V.,52.3475257,13.6383833,0
node,Marina Schulz,52.561369,13.2407365,0
node,Bootshaus Weller,52.4125238,13.1499318,0
node,Wassersportfreunde Imchen Berlin,52.4509391,13.1477987,0
node,Bootshafen Reiffer,52.5113599,13.1943545,0
node,Kanuklub Charlottenburg,52.5110305,13.1949287,0
node,Segelvereinigung Havel,52.5091888,13.2117405,0
node,Segler Verein Scharfe Lanke,52.5106039,13.1893107,0
node,Segler-Club Gothia,52.5111037,13.1931788,0
node,VWG Berlin,52.5040955,13.2105555,0
node,Verein Spandauer Jollensegler,52.5068927,13.2087947,0
node,Yachthafen Blau-Rot,52.5030449,13.1889064,0
node,Yachthafen Captain's Inn,52.5092686,13.2106852,0
node,Berliner Segler-Verein 1907,52.4275238,13.1643669,0
node,Lachmann Werft GbR,52.3556233,12.9939257,0
node,Marina Himmelreich,52.3520115,12.9898994,0
node,Potsdamer Ruder-Gesellschaft,52.3729266,13.0154917,0
node,Wassersportfreunde Pirschheide Potsdam,52.3700356,13.0130916,0
node,Potsdamer Segler-Club Wiking,52.3918856,13.0513539,0
node,Sportbootschule Caputh - Bothe Wassersport,52.3482555,12.989135,0
