time,avg_power
2021-05-05 22:00:00,97.38565500889152
2021-05-05 23:00:00,98.68517345399698
2021-05-06 00:00:00,96.58126531862744
2021-05-06 01:00:00,96.66060831966601
2021-05-06 02:00:00,96.97670336209463
2021-05-06 03:00:00,96.99667660208642
2021-05-06 04:00:00,98.71217558950022
2021-05-06 05:00:00,96.95558371850305
2021-05-06 06:00:00,96.97750186985789
2021-05-06 07:00:00,98.48045011252813
2021-05-06 08:00:00,96.67873078082604
2021-05-06 09:00:00,96.65228546151579
2021-05-06 10:00:00,98.73475166565719
2021-05-06 11:00:00,97.00555555555555
2021-05-06 12:00:00,97.00691585956416
2021-05-06 13:00:00,97.03976537825237
2021-05-06 14:00:00,98.72946468072556
2021-05-06 15:00:00,97.2833157498116
2021-05-06 16:00:00,97.65765228037955
2021-05-06 17:00:00,97.10082742316786
2021-05-06 18:00:00,98.85834079379289
2021-05-06 19:00:00,97.35364891518738
2021-05-06 20:00:00,97.2656988114939
2021-05-06 21:00:00,97.23269639065818
2021-05-06 22:00:00,97.13203351104342
2021-05-06 23:00:00,97.26882300089846
2021-05-07 00:00:00,97.42134357583974
2021-05-07 01:00:00,97.44118003025717
2021-05-07 02:00:00,103.44022222222222
2021-05-07 03:00:00,99.4029322853688
2021-05-07 04:00:00,100.40628155628156
2021-05-07 05:00:00,96.53985189662988
2021-05-07 06:00:00,96.45706956390524
2021-05-07 07:00:00,98.32644295302015
2021-05-07 08:00:00,96.01670658682634
2021-05-07 09:00:00,95.93763165814023
2021-05-07 10:00:00,98.26056838365898
2021-05-07 11:00:00,96.27142002989537
2021-05-07 12:00:00,96.23024127079275
2021-05-07 13:00:00,96.38421764617465
2021-05-07 14:00:00,98.70365358592693
2021-05-07 15:00:00,98.78248034416258
2021-05-07 16:00:00,97.97760876178887
2021-05-07 17:00:00,97.98519561351512
2021-05-07 18:00:00,99.91098033373063
2021-05-07 19:00:00,97.92887195121952
2021-05-07 20:00:00,97.99386898515964
2021-05-07 21:00:00,98.1872071797992
2021-05-07 22:00:00,97.97773711497408
2021-05-07 23:00:00,97.9369720994054
2021-05-08 00:00:00,97.96285714285715
2021-05-08 01:00:00,98.11755270394134
2021-05-08 02:00:00,97.89701492537314
2021-05-08 03:00:00,99.79905423378158
2021-05-08 04:00:00,98.11864636719928
2021-05-08 05:00:00,97.87396883593034
2021-05-08 06:00:00,99.73423504658851
2021-05-08 07:00:00,98.03188470728793
2021-05-08 08:00:00,97.94255128013177
2021-05-08 09:00:00,97.93026871980676
2021-05-08 10:00:00,97.99849128460524
2021-05-08 11:00:00,99.98424369747899
2021-05-08 12:00:00,98.28964243498818
2021-05-08 13:00:00,98.12387421767669
2021-05-08 14:00:00,98.21412813538834
2021-05-08 15:00:00,99.61346696362286
2021-05-08 16:00:00,99.96955805243446
2021-05-08 17:00:00,98.22745216212144
2021-05-08 18:00:00,98.26114534796332
2021-05-08 19:00:00,98.2363184079602
2021-05-08 20:00:00,98.22594002131221
2021-05-08 21:00:00,98.2133854645814
2021-05-08 22:00:00,98.20664179104477
2021-05-08 23:00:00,98.20720461095101
2021-05-09 02:00:00,100.6051515151515
2021-05-09 03:00:00,98.2742179235303
2021-05-09 04:00:00,96.76694352159468
2021-05-09 05:00:00,96.5452380952381
2021-05-09 06:00:00,98.08217956469164
2021-05-09 07:00:00,96.61053747161242
2021-05-09 08:00:00,96.52297885105745
2021-05-09 09:00:00,96.69371531423428
2021-05-09 10:00:00,96.66405199462125
2021-05-09 11:00:00,98.30086839347207
2021-05-09 12:00:00,96.70568777129172
2021-05-09 13:00:00,96.73666716799518
2021-05-09 14:00:00,96.81322190717803
2021-05-09 15:00:00,96.90071524362986
2021-05-09 16:00:00,98.40583610523132
2021-05-09 17:00:00,96.78817697543651
2021-05-09 18:00:00,96.80762135188266
2021-05-09 19:00:00,96.84012614506683
2021-05-09 20:00:00,96.74913831859733
2021-05-09 21:00:00,96.72885722946347
2021-05-09 22:00:00,96.9992824427481
2021-05-09 23:00:00,98.12165294297043
2021-05-10 00:00:00,96.61911390510403
2021-05-10 01:00:00,96.62100827689991
2021-05-10 02:00:00,96.606216750266
2021-05-10 03:00:00,96.63509462528388
2021-05-10 04:00:00,98.1664393939394
2021-05-10 05:00:00,96.53582450832073
2021-05-10 06:00:00,96.57025402074252
2021-05-10 07:00:00,98.45486899893987
2021-05-10 08:00:00,96.2194777592227
2021-05-10 09:00:00,96.10981996726677
2021-05-10 10:00:00,97.57082961641392
2021-05-10 11:00:00,96.76949976477967
2021-05-10 12:00:00,96.25516979987871
2021-05-10 13:00:00,96.33420175704332
2021-05-10 14:00:00,97.9392292638868
2021-05-10 15:00:00,109.15999093792479
2021-05-10 16:00:00,96.45779912925987
2021-05-10 17:00:00,96.4696514423077
2021-05-10 18:00:00,98.38150653343581
2021-05-10 19:00:00,96.52495451788963
2021-05-10 20:00:00,96.47616043262731
2021-05-10 21:00:00,96.47394484229773
2021-05-10 22:00:00,96.4744206906862
2021-05-10 23:00:00,97.9831917475728
2021-05-11 00:00:00,96.4744924439017
2021-05-11 01:00:00,96.41392824841725
2021-05-11 02:00:00,96.432331055429
2021-05-11 03:00:00,96.58984398439844
2021-05-11 04:00:00,98.43479739721975
2021-05-11 05:00:00,96.39777710109622
2021-05-11 06:00:00,96.42008793208005
2021-05-11 07:00:00,97.81316026410565
2021-05-11 08:00:00,96.16750667061963
2021-05-11 09:00:00,96.0204976483083
2021-05-11 10:00:00,98.68529411764705
2021-05-11 11:00:00,98.2756646216769
2021-05-11 12:00:00,96.97949865711728
